user_id,segment,region,loyalty_tier,join_date
U001,Digital Natives,North,Gold,2021-04-12
U002,Omni-channel Loyalists,West,Platinum,2019-11-03
U003,Deal Seekers,South,Silver,2022-02-18
U004,In-store Regulars,West,Bronze,2018-07-22
U005,Enterprise Buyers,East,Platinum,2017-09-09
U006,Digital Natives,North,Gold,2020-05-14
U007,Deal Seekers,South,Silver,2023-01-17
U008,In-store Regulars,Central,Bronze,2018-12-01
U009,Enterprise Buyers,East,Platinum,2016-03-30
U010,Digital Natives,Central,Gold,2022-08-05
