order_id,user_id,product_id,quantity,unit_price,order_ts,sales_channel,promo_code,payment_method
1001,U001,P001,1,19.99,2024-01-05T10:15:00Z,online,NEWYEAR,credit_card
1001,U001,P004,1,4.99,2024-01-05T10:15:00Z,online,NEWYEAR,credit_card
1002,U002,P002,2,24.50,2024-01-05T12:05:00Z,store,,debit_card
1002,U002,P003,1,12.00,2024-01-05T12:05:00Z,store,,debit_card
1003,U003,P001,1,19.99,2024-01-06T09:45:00Z,online,JANVIP,credit_card
1003,U003,P003,1,12.00,2024-01-06T09:45:00Z,online,JANVIP,credit_card
1003,U003,P005,2,7.50,2024-01-06T09:45:00Z,online,JANVIP,credit_card
1004,U002,P002,1,24.50,2024-01-07T17:30:00Z,online,APPONLY,digital_wallet
1004,U002,P006,1,15.00,2024-01-07T17:30:00Z,online,APPONLY,digital_wallet
1005,U004,P007,1,29.99,2024-01-08T11:00:00Z,store,,credit_card
1005,U004,P003,1,12.00,2024-01-08T11:00:00Z,store,,credit_card
1006,U001,P002,1,24.50,2024-01-09T08:20:00Z,online,,credit_card
1006,U001,P005,1,7.50,2024-01-09T08:20:00Z,online,,credit_card
1007,U005,P008,1,39.99,2024-01-10T14:10:00Z,store,Q1BUNDLE,invoice
1007,U005,P003,1,12.00,2024-01-10T14:10:00Z,store,Q1BUNDLE,invoice
1008,U006,P001,1,19.99,2024-01-11T09:30:00Z,online,,credit_card
1008,U006,P006,1,15.00,2024-01-11T09:30:00Z,online,,credit_card
1009,U002,P004,2,4.99,2024-01-12T16:45:00Z,store,,debit_card
1009,U002,P005,1,7.50,2024-01-12T16:45:00Z,store,,debit_card
1010,U007,P002,1,24.50,2024-01-13T13:20:00Z,online,WINTER10,digital_wallet
1010,U007,P009,1,89.99,2024-01-13T13:20:00Z,online,WINTER10,digital_wallet
1011,U008,P007,1,29.99,2024-01-14T15:05:00Z,store,,credit_card
1011,U008,P004,2,4.99,2024-01-14T15:05:00Z,store,,credit_card
1012,U009,P010,1,59.00,2024-01-15T10:30:00Z,online,VIPONLY,invoice
1012,U009,P003,2,12.00,2024-01-15T10:30:00Z,online,VIPONLY,invoice
1013,U010,P001,1,19.99,2024-01-16T09:25:00Z,online,,credit_card
1013,U010,P005,1,7.50,2024-01-16T09:25:00Z,online,,credit_card
1014,U003,P009,1,89.99,2024-01-17T18:40:00Z,online,,credit_card
1014,U003,P006,1,15.00,2024-01-17T18:40:00Z,online,,credit_card
1015,U005,P010,1,59.00,2024-01-18T11:10:00Z,store,FY24UPSELL,invoice
1015,U005,P002,1,24.50,2024-01-18T11:10:00Z,store,FY24UPSELL,invoice
